
[00:00:00.000 --> 00:00:07.280]  大家好,我是昇腾CANN生态的郭宜鹏
[00:20:31.020 --> 00:20:36.020]  首先这个最核心的其实就是它这个Profiler这个函数
[00:20:36.020 --> 00:20:43.020]  然后这里边呢我们首先是要给它设置一下我们是采集就是CPU测的还是NPU测的这个数据
[00:20:43.020 --> 00:20:46.020]  默认情况下是两个都开启
[00:20:46.020 --> 00:20:50.020]  然后另外就是我们的这个Schedule就是里边这个不同STEP的行为
[00:20:50.020 --> 00:20:53.020]  然后这块后边在这里也会讲
[00:20:53.020 --> 00:20:58.020]  然后Entrease Ready呢其实就是代表这个采集接触时自动执行的操作
[00:20:58.020 --> 00:21:04.020]  然后我们可以比如说来执行一些我们数据存储的位置之类的信息
[00:21:04.020 --> 00:21:06.020]  这个其实在后边也会提到
[00:21:06.020 --> 00:21:09.020]  然后Profiler Memory呢就是会给大家
[00:21:09.020 --> 00:21:16.020]  就代表说我们是否要采集我们这个算字的显存的一个这个占用情况
[00:21:16.020 --> 00:21:19.020]  然后如果开启的话呢它就会采集
[00:21:19.020 --> 00:21:23.020]  框架测还有这个NPU测的这个显存的使用情况
[00:21:23.020 --> 00:21:26.020]  然后当然这也跟我们Activity的这个设置有关系
[00:21:27.020 --> 00:21:30.020]  然后WeStack就是说我们在这个采集的时候
[00:21:30.020 --> 00:21:35.020]  会不会同时把这个算的电用站信息也一起采集出来
[00:21:35.020 --> 00:21:38.020]  然后这个默认也是不采集
[00:21:38.020 --> 00:21:42.020]  然后RecordShape呢它其实是采的是我们就是输入数据
[00:21:42.020 --> 00:21:44.020]  然后它的Shape和类型
[00:21:44.020 --> 00:21:46.020]  然后需不需要我们同时做一个记录
[00:21:46.020 --> 00:21:48.020]  这个默认也是不开启的
[00:21:48.020 --> 00:21:52.020]  然后就这个扩展参数其实代表是一些
[00:21:52.020 --> 00:21:57.020]  比如说我们更侧重说我们采集数据里的哪些信息
[00:21:57.020 --> 00:22:03.020]  然后这个也是在下一集会给大家讲到
[00:22:03.020 --> 00:22:07.020]  那实际就是这个Experimental Config
[00:22:07.020 --> 00:22:11.020]  然后这块呢其实实际上我们第一个要指定的就是这个Profilor Level
[00:22:11.020 --> 00:22:13.020]  这个Profilor Level
[00:22:13.020 --> 00:22:15.020]  就是说我们是从Level0到Level2呢
[00:22:15.020 --> 00:22:19.020]  它会采集越来越多的这个数据
[00:22:19.020 --> 00:22:23.020]  从一开始基本的我们这个NPU上的数据和算子信息以外
[00:22:23.020 --> 00:22:27.020]  我们每家再加一层我们就可以会采集一些ACL的数据
[00:22:27.020 --> 00:22:29.020]  还有些ACL的数据
[00:22:29.020 --> 00:22:34.020]  然后再提一层呢我们就是连CANN层的那些Runtime的数据和AICPU的数据
[00:22:34.020 --> 00:22:36.020]  也会一起来做一个采集
[00:22:36.020 --> 00:22:38.020]  那这块一般来说我们如果CANN性能的话
[00:22:38.020 --> 00:22:40.020]  其实我们CANNL0就够用了
[00:22:40.020 --> 00:22:43.020]  然后一般用L0和L1比较普遍一些
[00:22:43.020 --> 00:22:46.020]  然后下面的这个IsaMatrix呢
[00:22:46.020 --> 00:22:53.020]  这个它是来指定说我们去采集ACL的哪些性能采集指标
[00:22:53.020 --> 00:22:57.020]  然后这些指标呢也可以通过我们这个CNUV来呈现
[00:22:57.020 --> 00:23:01.020]  那默认的话其实就是不采集啊都关掉
[00:23:01.020 --> 00:23:05.020]  然后Pipe Utilization呢这个就常见一些
[00:23:05.020 --> 00:23:08.020]  然后它来指定的就是说我们来采集的是
[00:23:08.020 --> 00:23:12.020]  计算单元还有搬运单元的耗时还有占比
[00:23:12.020 --> 00:23:16.020]  比如说我们在这个Cube或者说我们的这个Water Kernel上
[00:23:16.020 --> 00:23:19.020]  它那些MTE的执行的是耗时占比
[00:23:19.020 --> 00:23:22.020]  还有我们这个本身的计算单元的耗时占比
[00:23:22.020 --> 00:23:24.020]  采集的是这些信息
[00:23:24.020 --> 00:23:29.020]  然后下面这个Iris
[00:23:29.020 --> 00:23:34.020]  IrisMagic Utilization呢它算的是我们各种计算类指标的一个占比
[00:23:34.020 --> 00:23:39.020]  比如说我们这个是F16的Vector直定的比例
[00:23:39.020 --> 00:23:41.020]  还有这个FP32的Vector计算指定比例
[00:23:41.020 --> 00:23:43.020]  就这些内容
[00:23:43.020 --> 00:23:48.020]  然后Memory呢是我们的这个外部内存读写类的相对的相关的信息
[00:23:48.020 --> 00:23:51.020]  比如说我们的这个主存的一些带宽
[00:23:51.020 --> 00:23:54.020]  还有L2Cache的这些带宽这些内容
[00:23:54.020 --> 00:24:01.020]  然后Memory L0呢其实就是我们Cube那些L0的内存的读写的数据
[00:24:01.020 --> 00:24:03.020]  就是L0ABC那些的读写带宽
[00:24:03.020 --> 00:24:09.020]  然后Resource Conflict Ratio呢它代表是我们这个流行队列的指定占比
[00:24:09.020 --> 00:24:13.020]  它里边呢其实主要计算的数据是跟我们的冲突有关
[00:24:13.020 --> 00:24:18.020]  比如说计算那些我们造成了Bank Conflict
[00:24:18.020 --> 00:24:21.020]  或者说Bank Group Conflict这些指定的占比
[00:24:21.020 --> 00:24:25.020]  然后Memory UB呢这就是我们这个Vector核内
[00:24:25.020 --> 00:24:29.020]  就是UB上的这个读写的指定相关的数据
[00:24:29.020 --> 00:24:33.020]  然后比如说这个UB和我们这个Vector计算单元
[00:24:33.020 --> 00:24:36.020]  还有说Scalary计算单元它们之间的这个读写带宽
[00:24:36.020 --> 00:24:37.020]  然后会在这里记录
[00:24:37.020 --> 00:24:41.020]  然后L2Cache呢就代表就是我们这个这个
[00:24:41.020 --> 00:24:44.020]  对这个Cache的这个命中的次数
[00:24:44.020 --> 00:24:48.020]  还有这个如果Cache缺失之后的重新分配的这个次数
[00:24:48.020 --> 00:24:50.020]  然后最后这个Memory Access
[00:24:50.020 --> 00:24:54.020]  然后它代表就是我们算子在核上的仿存带宽的数据量
[00:24:54.020 --> 00:24:58.020]  比如说我们从GM到L1的这个这个带宽
[00:24:58.020 --> 00:25:01.020]  还有说GM到UB的这两块带宽
[00:25:01.020 --> 00:25:03.020]  然后单位是KB
[00:25:03.020 --> 00:25:07.020]  然后下面还有这个我们是否开启这个数据经典模式
[00:25:07.020 --> 00:25:08.020]  就是如果开的话
[00:25:08.020 --> 00:25:13.020]  我们在这个做完我们的这个统计之后导致行通数据
[00:25:13.020 --> 00:25:16.020]  就是把多余的这个数据给删除
[00:25:16.020 --> 00:25:18.020]  这也是默认开启的
[00:25:22.020 --> 00:25:26.020]  然后下面就是我们这个Schedule这块
[00:25:26.020 --> 00:25:32.020]  那这块我们其实给大家指示的就是说我们这个统计的时候
[00:25:32.020 --> 00:25:35.020]  是怎么分配我们的里边这些step的论述的
[00:25:35.020 --> 00:25:39.020]  像我们做这个算则型统计不可能说是跑一遍就算
[00:25:39.020 --> 00:25:41.020]  那肯定是跑很多遍
[00:25:41.020 --> 00:25:44.020]  然后在里面选我们需要的来做这个平均值
[00:25:44.020 --> 00:25:52.020]  那这块的话就是我们在这里指定我们下面的这几这几类step的数量
[00:25:52.020 --> 00:25:55.020]  那整体的这个表现图就像下面列的这样
[00:25:55.020 --> 00:25:59.020]  那wait代表了说是我们在每一个repeat里边
[00:25:59.020 --> 00:26:03.020]  我们一开始跳过的这个轮述
[00:26:03.020 --> 00:26:04.020]  然后active呢
[00:26:04.020 --> 00:26:10.020]  其实就是说我们真正去采集性能的这些step轮述
[00:26:10.020 --> 00:26:16.020]  那warmup呢就是我们预设的就是多预热的这个step轮述
[00:26:16.020 --> 00:26:18.020]  那默认知识0
[00:26:18.020 --> 00:26:21.020]  那其实这块的warmup和wait这两块
[00:26:21.020 --> 00:26:23.020]  我们都是不会去采集的
[00:26:23.020 --> 00:26:25.020]  只有active会采集
[00:26:25.020 --> 00:26:27.020]  那还有就是cvfirst
[00:26:27.020 --> 00:26:29.020]  就是说在整个这堆数据里边
[00:26:29.020 --> 00:26:32.020]  我们一开始的这些也是不采集去抛弃掉的
[00:26:32.020 --> 00:26:36.020]  就实际上我们采集数据就是active这些
[00:26:36.020 --> 00:26:39.020]  然后我们通过这几个参数来指定说
[00:26:39.020 --> 00:26:41.020]  我们在所有跑的轮次里边
[00:26:41.020 --> 00:26:42.020]  哪些是我们的active
[00:26:42.020 --> 00:26:46.020]  哪些是我们来做这个性能数据的一个参考
[00:26:46.020 --> 00:26:48.020]  那我们有很多个repeat的话呢
[00:26:48.020 --> 00:26:53.020]  那它其实就是说每次repeat都会给我们生成一个数据的一个文件夹
[00:26:53.020 --> 00:27:01.020]  然后最后一块其实就是我们这个
[00:27:01.020 --> 00:27:08.020]  跟这个就是我们这个每次采集之后的操作有关的一些参数
[00:27:08.020 --> 00:27:10.020]  那就是我们这个tensorballtrace handler这块
[00:27:10.020 --> 00:27:15.020]  那这块呢我们就会指定说我们采集数据的存放路径
[00:27:15.020 --> 00:27:18.020]  或者说我们这个数据采集就当天这个工作的县程
[00:27:18.020 --> 00:27:25.020]  然后用它来这个worker name来就是来匹配到我们最后这个存储的路径是每个文件夹
[00:27:25.020 --> 00:27:30.020]  然后还有就是我们是否开启我们这个行动数据的自动解析
[00:27:30.020 --> 00:27:32.020]  还有是否开启我们的这个一步解析
[00:27:32.020 --> 00:27:37.020]  然后呢讲完这几类参数之后呢就给大家CANN一个我们的案例
[00:27:37.020 --> 00:27:40.020]  这个案例也是在我们那个开启仓里有的
[00:27:40.020 --> 00:27:44.020]  那大家可以在里边的这个目录下就找到这个用力
[00:27:44.020 --> 00:27:54.020]  然后呢这块大家可以CANN它首先是给我们做了一个这个数据的一个就是config的这个指定
[00:27:54.020 --> 00:28:04.020]  它呢我们来确定说我们要取得是跟那些数据就是mte仿存和这个计算的这些比例之间的这些信息
[00:28:04.020 --> 00:28:07.020]  然后呢level呢我们就是成一个level1
[00:28:07.020 --> 00:28:14.020]  然后呢the data simulation这个就是我们就不做就不让它自动给我们去做这种内容的精简
[00:28:14.020 --> 00:28:21.020]  然后先把schedule这块呢其实就是指定我们的一些那些轮次的一个取值
[00:28:21.020 --> 00:28:24.020]  比如说我就设定我不需要wait
[00:28:24.020 --> 00:28:28.020]  然后一开始的10个step呢我给去掉就是不考虑
[00:28:28.020 --> 00:28:32.020]  然后后边呢我们在我们这个统计的active轮次呢有30轮
[00:28:32.020 --> 00:28:37.020]  然后我们整体上呢只需要做一次repeat的这个数据统计
[00:28:37.020 --> 00:28:40.020]  那这些就是通过schedule就被设置好了
[00:28:40.020 --> 00:28:43.020]  通过前面这些提前设好的这个取值
[00:28:43.020 --> 00:28:51.020]  然后最后我们这个handler这块呢我们就只给一个指定一个它的存数的一个路径就行
[00:28:51.020 --> 00:28:59.020]  然后最后呢我们就可以实现我们的这个profile的这个函数来指定我们这个数据的采集
[00:29:01.020 --> 00:29:08.020]  那这块这块这个函数呢我们可以把它用来封装一些我们的一些treaton的这个函数
[00:29:08.020 --> 00:29:13.020]  就是说我们不是说这一个profile呢只能用来统计一个treaton算子
[00:29:13.020 --> 00:29:16.020]  它可以把多个treaton算子一起来做统计
[00:29:16.020 --> 00:29:21.020]  但这里面注意的时候它我们这个在往里边包这个function的时候呢
[00:29:21.020 --> 00:29:24.020]  我们往里传的并不是说我们treaton kernel那个实现的函数
[00:29:24.020 --> 00:29:29.020]  而是说我们调用treaton kernel就是这块你CANN我们分的是这个函数
[00:29:29.020 --> 00:29:31.020]  它是在调用treaton kernel这个函数
[00:29:31.020 --> 00:29:35.020]  你可以CANN到这个Grid 的设置它是一个调用
[00:29:35.020 --> 00:29:42.020]  所以我们大家千万在这里去不要把我们这个分的点get标的那个算子去给传进来
[00:29:42.020 --> 00:29:44.020]  我记得不是那个
[00:29:44.020 --> 00:29:51.020]  然后后边呢我们就可以CANN到我们这个算子呃
[00:29:51.020 --> 00:29:53.020]  行动测试的一个数据结果啊
[00:29:53.020 --> 00:29:55.020]  就存在我们根据我们的指定的目录
[00:29:55.020 --> 00:29:56.020]  还有说我们这个呃
[00:29:56.020 --> 00:29:59.020]  如果设置的话就是从我们这个workname
[00:29:59.020 --> 00:30:01.020]  还有当时时间处来找到我们这个文件夹
[00:30:01.020 --> 00:30:06.020]  然后这里边呢我们其实主要这个CANN的就是呃
[00:30:06.020 --> 00:30:11.020]  就是呃就是kernel details还有okstatistic这两个文件啊
[00:30:11.020 --> 00:30:16.020]  然后呢kernel details里边呢它就会呃给我们这个呃
[00:30:16.020 --> 00:30:19.020]  存放了每个step的各项数据
[00:30:19.020 --> 00:30:22.020]  比如我们统计了30轮那里边就会出现30轮
[00:30:22.020 --> 00:30:26.020]  那这里我们可以CANN见啊stepID它一开始是从3开始寄的啊
[00:30:26.020 --> 00:30:29.020]  那原因就是因为我们呃在这件例子里呢
[00:30:29.020 --> 00:30:32.020]  我们设定了这个三个step的workup啊
[00:30:32.020 --> 00:30:35.020]  啊所以说012这三三个step呢它就没有统计
[00:30:35.020 --> 00:30:37.020]  所以它这里的ID是从3开始
[00:30:37.020 --> 00:30:40.020]  那这后边呢我们一般CANN性能的话啊
[00:30:40.020 --> 00:30:42.020]  啊我们可以CANN这个duration这里啊
[00:30:42.020 --> 00:30:45.020]  啊然后来CANN到我们这个这个当时这个算子
[00:30:45.020 --> 00:30:48.020]  在设备测的一个执行时间啊
[00:30:48.020 --> 00:30:51.020]  啊然后呢在后边那个Blockdimension呢
[00:30:51.020 --> 00:30:53.020]  我们一CANN见我们这个算子呢
[00:30:53.020 --> 00:30:56.020]  它到底发射了多少个逻辑核
[00:30:56.020 --> 00:30:59.020]  然后因为我们呃在刚才的例子里
[00:30:59.020 --> 00:31:01.020]  就是运行的时候设计了40个
[00:31:01.020 --> 00:31:04.020]  所以说呢它就会给大家显示40
[00:31:04.020 --> 00:31:06.020]  然后后边还可以CANN到我们的这个
[00:31:06.020 --> 00:31:09.020]  我们的这个这个info的输出指针
[00:31:09.020 --> 00:31:11.020]  然后还有说如果我们呃
[00:31:11.020 --> 00:31:13.020]  输出这个这个这个shave还有这个类型
[00:31:13.020 --> 00:31:17.020]  然后如果我们呢前面还说的比如说pipization的话
[00:31:17.020 --> 00:31:21.020]  那我们那些MT啊还有这些这个呃
[00:31:21.020 --> 00:31:23.020]  订阅单元的这个耗时时间啊
[00:31:23.020 --> 00:31:25.020]  就也会在这个表里出现
[00:31:25.020 --> 00:31:28.020]  然后这个统计的是每个sap的时间展示
[00:31:28.020 --> 00:31:32.020]  那obisatis这个这块呢就是展示一个更综合的时间
[00:31:32.020 --> 00:31:34.020]  啊这里呢大家就可以CANN见啊
[00:31:34.020 --> 00:31:36.020]  说它这里边就只有一行数据啊
[00:31:36.020 --> 00:31:39.020]  因为它给我们这个30轮的时间去做了一个平均啊
[00:31:39.020 --> 00:31:41.020]  那比如说我们平均的执行时间
[00:31:41.020 --> 00:31:44.020]  还有说啊最长和最短的时间
[00:31:44.020 --> 00:31:46.020]  那如果我们呃统计完
[00:31:46.020 --> 00:31:50.020]  我们就想CANN一个这个算子的一个性能的一个整体表现
[00:31:50.020 --> 00:31:53.020]  我们直接开这个来CANN这个average time就行
[00:31:53.020 --> 00:31:58.020]  对啊这块就是我们这个数据采集方面
[00:31:58.020 --> 00:32:03.020]  那接下来呢就给大家CANN一下这个Google Triton
[00:32:03.020 --> 00:32:07.020]  甚至相关的一些啊算子优化方面的一些技巧
[00:32:07.020 --> 00:32:09.020]  首先是数据类型上啊
[00:32:09.020 --> 00:32:12.020]  啊因为我们像我们就是在生能上
[00:32:12.020 --> 00:32:16.020]  我们的这个就是就是优秀算力的来源
[00:32:16.020 --> 00:32:19.020]  主要是来自于我们要尽量的把计算呢
[00:32:19.020 --> 00:32:23.020]  放在我们这个vector还有cube这两个计算单元上去做
[00:32:23.020 --> 00:32:26.020]  而不是用这个scaler这种标量来算啊
[00:32:26.020 --> 00:32:30.020]  但是呢我们这个有些这个特定的数据类型呢
[00:32:30.020 --> 00:32:36.020]  对于这个应该来说是就是应该这个使用单元来说是不支持的
[00:32:36.020 --> 00:32:40.020]  所以说呢我们在这块呢虽然它运行时候不会出问题
[00:32:40.020 --> 00:32:43.020]  但实际上呢我们是退化为了这个标量标量运算
[00:32:43.020 --> 00:32:47.020]  那这样的话就会有这个性能方面的影响
[00:32:47.020 --> 00:32:53.020]  那如果开发者呢就是说你确定说我们当前这个用法
[00:32:53.020 --> 00:32:55.020]  呃不会影响我们这个计算精度的话
[00:32:55.020 --> 00:33:00.020]  你可以就是来就是对我们这个数据类型做一个修改
[00:33:00.020 --> 00:33:05.020]  然后来让它可以在我们的这个vector或者cube上去做运行
[00:33:05.020 --> 00:33:09.020]  然后来提升我们这个整体的算则性能
[00:33:09.020 --> 00:33:13.020]  那比如说我们这块的这个weir的这个函数哈
[00:33:13.020 --> 00:33:18.020]  那为了作用是然呢就是它其实是有点像是select
[00:33:18.020 --> 00:33:23.020]  它会根据我们前面的这个这个这个这个condition的short false呢
[00:33:23.020 --> 00:33:28.020]  这个这个condition for false来给大家指定说这个x和y的这个取值取内科
[00:33:28.020 --> 00:33:36.020]  那这里呢就是我们的呃原始实现的实际上是呃用到intern64的一个实现
[00:33:36.020 --> 00:33:42.020]  那这样的话呢它其实呃在一开始会先有一个compare的一个比较
[00:33:42.020 --> 00:33:45.020]  那这个会先有一个compare的一个比较
[00:33:45.020 --> 00:33:50.020]  那这个比较呢它就是呃如果是intern64的话
[00:33:50.020 --> 00:33:53.020]  它就是嗯不会通过我们的一个vector来做
[00:33:53.020 --> 00:33:59.020]  所以后面呢我们性能好的时间呢是先给它去做一个这个类型的转换
[00:33:59.020 --> 00:34:03.020]  给它转到sp32上然后我们再去定用这个weir
[00:34:03.020 --> 00:34:08.020]  这样的话呢它的这个数据就会在我们的这个weir核上去做计算
[00:34:08.020 --> 00:34:11.020]  那所以这块对于我们生存性能来说
[00:34:11.020 --> 00:34:16.020]  其实我们这个标量的比例就是标量的比例就越低越好
[00:34:19.020 --> 00:34:22.020]  那还有就是我们这个离散绑存的这个优化
[00:34:22.020 --> 00:34:28.020]  呃就是说我们这个呃因tern原生呢它本身是面向GPU去做设计的
[00:34:28.020 --> 00:34:34.020]  所以说呢也就是大家之前也CANN到了它有那个啊可以随意设置的mask
[00:34:34.020 --> 00:34:37.020]  那这种呢它是更支持那种cmp的写法
[00:34:37.020 --> 00:34:42.020]  呃可以去做到那些离散绑存的呃支持
[00:34:42.020 --> 00:34:46.020]  那升等本身呢在当代芯片还是一个cmd的一个架构
[00:34:46.020 --> 00:34:52.020]  那这个架构呢其实我们呃是在连续仿存这个场景下可以拿到更高的性能
[00:34:52.020 --> 00:35:02.020]  那这样的话呢我们在这个呃数据在我们做计算的时候呢就尽量去避免说写出那种呃太过离散的仿存
[00:35:02.020 --> 00:35:08.020]  那里边有些决定方案呢比如说是呃像我们这个案例里边如果我们是这种间接仿存
[00:35:08.020 --> 00:35:16.020]  那我们先把呃这个index露得出来然后再根据这个index然后去做这个数据从外向内的一个搬移
[00:35:16.020 --> 00:35:18.020]  那这样它的性能就会比较差
[00:35:18.020 --> 00:35:25.020]  那我们怎么把它性能改好现在就是我们这个搬移呢给它去做成一个完整的露到片上
[00:35:25.020 --> 00:35:30.020]  有时候在一开始呢我们先啊不会把这个根据index去把这个东西算完
[00:35:30.020 --> 00:35:41.020]  而是把这整条数据摆到片上之后再通过我们这个get的指令来给它去变成一个更这个连续的一个数据的方存和后续的计算
[00:35:41.020 --> 00:35:45.020]  那通过这个啊来优化我们的领算仿存提升我们最后的效率
[00:35:45.020 --> 00:35:52.020]  那在领算仿存这方面呢其实除了这个这个这个例子啊我们还有其他的一些方式
[00:35:52.020 --> 00:35:58.020]  比如说是呃有一些比如说先给数据做一些转置的然后再进行计算这种东西
[00:35:58.020 --> 00:36:02.020]  然后这种呢有时候也会需要一些额外的这个结合的辅助
[00:36:02.020 --> 00:36:09.020]  所以说呢现在tri-down-send呢也给大家开发了一些就是基于升能的就是扩展性的一些接口
[00:36:09.020 --> 00:36:15.020]  然后可以支持大家来做这个一些呃就是性能的优化
[00:36:15.020 --> 00:36:20.020]  那这部分文档呢也会呃后面会逐渐给大家在我们的社区和客业仓里边更新
[00:36:22.020 --> 00:36:26.020]  然后呢我们还有这个仿存调度上的优化
[00:36:26.020 --> 00:36:30.020]  啊就主要就是说我们GM上呢呃
[00:36:30.020 --> 00:36:38.020]  呃其实有一块空间就是LR开始呢它的和我们的这个升能的核里边是存在那种高带宽的搬运通路
[00:36:38.020 --> 00:36:42.020]  有时候仿存GM的时候呢呃如果能命中这个LR开始
[00:36:42.020 --> 00:36:44.020]  然后它的性能就可以做到更好
[00:36:44.020 --> 00:36:54.020]  那这块呢我们要注意的一点就是我们在同一时间呢访存的时候要避免说啊它的这个访存位置过于离散
[00:36:54.020 --> 00:36:56.020]  然后来导致LR开始的命中率比较低
[00:36:56.020 --> 00:36:58.020]  比如说我们当前的这个例子里哈
[00:36:58.020 --> 00:37:08.020]  我们开了四个核去做这个平衡计算
[00:37:08.020 --> 00:37:12.020]  然后每个核内呢又做tiding来切成了三个这个subBlock
[00:37:12.020 --> 00:37:18.020]  那所以说我们黄色的一个核它里边有三块绿色的核有三块啊蓝的核有三块
[00:37:18.020 --> 00:37:20.020]  啊蓝的核有三块粉的核有三块
[00:37:20.020 --> 00:37:24.020]  那这块呢因为我们核内的tiding呢实际上是呃轮流来做的
[00:37:24.020 --> 00:37:33.020]  然后呢这块其实我们在同一时间内呢呃就是实际上是每个核里的第一块数据先进行计算
[00:37:33.020 --> 00:37:38.020]  那我们如果说我们一开始给这个多个核去分配任务的时候
[00:37:38.020 --> 00:37:44.020]  是把这个呃按连续把一段连续的内存发给多个核
[00:37:44.020 --> 00:37:48.020]  那这样的话呢我们每个核在就是做第一个块计算的时候
[00:37:48.020 --> 00:37:57.020]  呃它的这个中间会间距很大也就是说很多的这个L2的这个数据就被浪费了
[00:37:57.020 --> 00:38:02.020]  L2它给你往里做缓存的时候会就是那种连续性的给你把数据搬进去
[00:38:02.020 --> 00:38:06.020]  那这样就会导致这个L2开始的命中率比较低
[00:38:06.020 --> 00:38:11.020]  那所以呢我们这块就是最好就是那个核之间的数据呢是隔着放的
[00:38:11.020 --> 00:38:19.020]  比如说你CANN我一号核它的一号数据和一号数据块和二号数据块中间其实隔了三个块
[00:38:19.020 --> 00:38:24.020]  那这样的话呢在我们每个核都算到第一块的时候那这块数据是连着的
[00:38:24.020 --> 00:38:27.020]  可以让大家这个L2开始的命中率更高
[00:38:27.020 --> 00:38:30.020]  那我们又算到第二块的时候呢第二块又是连着的
[00:38:30.020 --> 00:38:34.020]  第三块的时候它也是连着的那通过这种这个调度上的排序呢
[00:38:34.020 --> 00:38:39.020]  我们可以给大家控制让这个L2的命中率提高
[00:38:39.020 --> 00:38:41.020]  当然这是一个一个思路的一个例子啊
[00:38:41.020 --> 00:38:44.020]  然后因为我们本身写的算子里呢
[00:38:44.020 --> 00:38:46.020]  它的访问可能会比较复杂
[00:38:46.020 --> 00:38:50.020]  可能不会像这个例子那么就是直接而明确
[00:38:50.020 --> 00:38:54.020]  可能大家会需要一些其他的思路上的调整
[00:38:54.020 --> 00:38:56.020]  但是这是一个整体的一个优化思路
[00:38:58.020 --> 00:39:03.020]  还有另外一个注意点就是说我们另外要避免的就是在同一时间内呢
[00:39:03.020 --> 00:39:06.020]  访问的数据量过于大
[00:39:06.020 --> 00:39:12.020]  那这块呢比如说如果我们一下子说同一时间要用到特别大量的数据
[00:39:12.020 --> 00:39:16.020]  然后甚至超过到L2开始的这个内存
[00:39:16.020 --> 00:39:20.020]  那这样的话超出这部分内存的访问速度就会变得很慢
[00:39:20.020 --> 00:39:25.020]  那所以说呢像比如说我们用一个矩阵程的例子来CANN
[00:39:25.020 --> 00:39:31.020]  如果我们是先算C里的连续的一块数据的话
[00:39:31.020 --> 00:39:35.020]  那这块我们 A倒是用的是同一行
[00:39:35.020 --> 00:39:42.020]  但是B的话我们需要把整个B矩阵都给这个在这段时间都来做实用
[00:39:42.020 --> 00:39:45.020]  但是这块呢我们要开始就可能放不下这么多
[00:39:45.020 --> 00:39:51.020]  那里面就会出现就是通过更慢的带宽来仿存的部分
[00:39:51.020 --> 00:39:54.020]  那就会导致这个算子的性能变差
[00:39:54.020 --> 00:40:01.020]  那所以它呢如果我们把这个C的计算数据呢先改成算这么一串三乘三的一段数据
[00:40:01.020 --> 00:40:05.020]  那这样的话呢我们A里面就用到三行
[00:40:05.020 --> 00:40:07.020]  B里面用到三列
[00:40:07.020 --> 00:40:15.020]  那这块其实我们现在在这时间段内仿存的这个A和B的这个内存总量就会比较小
[00:40:15.020 --> 00:40:18.020]  就可以在L2Cache里面去放得下
[00:40:18.020 --> 00:40:23.020]  那通过这个方式呢我们就避免说来访问那种慢带宽的数据
[00:40:23.020 --> 00:40:25.020]  来提升这个整体的一个性能
[00:40:25.020 --> 00:40:34.020]  那还有一种就是说也是一个要注意点就是我们通过时间内呢
[00:40:34.020 --> 00:40:39.020]  我们算的一堆核呢它可能会需要我们同一段内存
[00:40:39.020 --> 00:40:42.020]  那其实比如说我们假如说我们有两个核
[00:40:42.020 --> 00:40:48.020]  我们0号核算的是左上角这块然后12核算的是它右边这个块
[00:40:48.020 --> 00:40:51.020]  那这样的话对这两核这两核的计算来说呢
[00:40:51.020 --> 00:40:54.020]  其实他们用到了同一段A的数据
[00:40:54.020 --> 00:40:58.020]  但是如果同一时间访问这个呢就会造成这个独独冲突
[00:40:58.020 --> 00:41:04.020]  那其中一个就会等另一个的这个访问使用结束之后它才能来做
[00:41:04.020 --> 00:41:14.020]  那所以这块呢我们就是要把因为我们很难说这个我们的多核能完美的把这个所有的这个绑存全给错开
[00:41:14.020 --> 00:41:20.020]  那但是我们需要做的是给它做到尽量的一个平均来尽量减少这种独独的冲突
[00:41:20.020 --> 00:41:26.020]  随之这块呢我们可以做的一件事就是说我们把这个仿存的又分配的顺序呢
[00:41:26.020 --> 00:41:30.020]  从原来的比如说含固线给改成一个对角线游线
[00:41:30.020 --> 00:41:32.020]  这样的话呢我们算1的时候呢
[00:41:32.020 --> 00:41:35.020]  那它用的是A的第二和B的第二列
[00:41:35.020 --> 00:41:40.020]  那这样的话我们就可以对0和1同时去做这个计算
[00:41:40.020 --> 00:41:50.020]  然后也不会导致他们中间在A的这个房子上有这个这个这个等待的情况
[00:41:50.020 --> 00:41:56.020]  然后呢那这块就是我们的这个优化的一些关键点
[00:41:56.020 --> 00:42:02.020]  然后我们的这块就是我们接下来就有我们的第二个互动答题环节
[00:42:02.020 --> 00:42:06.020]  那这块大家可以在我们深层CANN的视频号来直播回答问题
[00:42:06.020 --> 00:42:08.020]  第一回答正结的可以领取奖品
[00:42:08.020 --> 00:42:12.020]  那我们的Tradison呢更新和哪种保存模式
[00:42:12.020 --> 00:42:13.020]  这个也比较简单
[00:42:13.020 --> 00:42:14.020]  这个也比较简单
[00:42:14.020 --> 00:42:15.020]  然后前段也提过很多次了
[00:42:15.020 --> 00:42:41.020]  这个两个选项
[00:42:41.020 --> 00:42:44.020]  其实这个在上一节课也给大家强调过
[00:42:44.020 --> 00:42:48.020]  这跟我们应用家的一些CMT和CMT的架构有关
[00:42:48.020 --> 00:42:50.020]  大家可以想想是能属于哪一种
[00:42:50.020 --> 00:43:05.020]  我们下面有一个同学答对了啊
[00:43:05.020 --> 00:43:07.020]  我们下面有一个同学答对了啊
[00:43:07.020 --> 00:43:09.020]  我们下面有一个同学答对了啊
[00:43:09.020 --> 00:43:10.020]  我们下面有一个同学答对了啊
[00:43:10.020 --> 00:43:11.020]  我们下面有一个同学答对了啊
[00:43:11.020 --> 00:43:12.020]  我们下面有一个同学答对了啊
[00:43:12.020 --> 00:43:14.020]  我们下面有一个同学答对了啊
