
[00:00:00.000 --> 00:00:08.680]  今天呢我主要是给大家介绍一下这个Triton这个语言是怎么在升能上开发的
[00:21:55.000 --> 00:22:00.000]  因为嗯后边的话之前说圆码是对这种方式对谁有用的
[00:22:00.000 --> 00:22:03.000]  比如说我们有些想深度合作的
[00:22:03.000 --> 00:22:05.000]  他想参与这个社区的开源定制
[00:22:05.000 --> 00:22:09.000]  他想给trydownsend去比如说加前端接口加pass
[00:22:09.000 --> 00:22:11.000]  那他就需要用这个方式
[00:22:11.000 --> 00:22:13.000]  但如果你只是用他来做算的开发的话
[00:22:13.000 --> 00:22:18.000]  啊那其实呃有那个web包的方式可以直接pip install
[00:22:18.000 --> 00:22:22.000]  但这个web包现在呃有一个特别老的版本
[00:22:22.000 --> 00:22:25.000]  然后正式版本其实会在930之后
[00:22:25.000 --> 00:22:31.000]  会再给一个正式版本然后再之后大家就是装起来会更容易
[00:22:31.000 --> 00:22:37.000]  然后另一方面就是呃有有客户然后也表达过他们那个需要的那些
[00:22:37.000 --> 00:22:39.000]  就他们的环境更封闭
[00:22:39.000 --> 00:22:41.000]  所以他们需要一个离线的安装角程
[00:22:41.000 --> 00:22:43.000]  所以这个也在规划中
[00:22:43.000 --> 00:22:51.000]  哎这个我问一下啊就是你那个trydownsend的话可以可以通过那个peopleinstall来安装的话
[00:22:51.000 --> 00:22:55.000]  那你那个llvm的话可可以通过peopleinstall来安装吗
[00:22:55.000 --> 00:22:58.000]  是不是也可能不行的是吧
[00:22:58.000 --> 00:23:08.000]  那如果就是你用那个trydownsend的话你就是lvm应该
[00:23:08.000 --> 00:23:13.000]  啊我还我没说我只装他行不行
[00:23:13.000 --> 00:23:15.000]  因为我本地一直有lvm
[00:23:15.000 --> 00:23:21.000]  呃对他那个trydownsend的按照说法的话应该是依赖于那个llvm的
[00:23:21.000 --> 00:23:25.000]  但是lvmCANN好像是要需要有有原码构建的吗对吧
[00:23:25.000 --> 00:23:27.000]  这个可以确认一下后面
[00:23:27.000 --> 00:23:28.000]  嗯对这要确认一下
[00:23:28.000 --> 00:23:33.000]  因为最合理的其实应该是people装完之后不用在手动装lvm了
[00:23:33.000 --> 00:23:37.000]  然后但是我没有验证过因为我本地一直有lvm
[00:23:39.000 --> 00:23:41.000]  这个我后面再验证一下这个事儿
[00:23:41.000 --> 00:23:45.000]  然后这个呃原码安装的话
[00:23:45.000 --> 00:23:50.000]  嗯反正大概大概大家扫一眼吧这个
[00:23:50.000 --> 00:23:56.000]  嗯这是比较不大的一套东西啊
[00:23:56.000 --> 00:24:00.000]  就是说实际上是我们这个有需要指定版本的这个CANN包
[00:24:00.000 --> 00:24:03.000]  因为现在是怎么说呢
[00:24:03.000 --> 00:24:07.000]  呃现在这样读解啊trydownsend是一个完全开的状态
[00:24:07.000 --> 00:24:11.000]  但是那个sendpuir现在呃代码还在逐步往外开
[00:24:11.000 --> 00:24:12.000]  最后是要全开的
[00:24:12.000 --> 00:24:16.000]  但是现在还要有这个呃那种合规审查在做
[00:24:16.000 --> 00:24:22.000]  比如说现在的话呢像我们在这里边需要用到那个sendpuir
[00:24:22.000 --> 00:24:24.000]  或者说平时编辑的部分
[00:24:24.000 --> 00:24:26.000]  其实是靠CANN包里的二进制
[00:24:26.000 --> 00:24:29.000]  而不是直接去联动那个仓
[00:24:29.000 --> 00:24:35.000]  所以说呢它也需要我们这个有对应的这个CANN的版本先提前装好
[00:24:35.000 --> 00:24:41.000]  然后呢就是前面其实都是呃正常的CANN包的的安装流程
[00:24:41.000 --> 00:24:47.000]  就装完之后我们要设计一下就是sendpuir的这个sendpuir的这个脚本
[00:24:47.000 --> 00:24:52.000]  然后呢后边的话就是有一系列这个python上的这个依赖
[00:24:52.000 --> 00:24:55.000]  然后还有这个touchnpu这个是B装的
[00:24:55.000 --> 00:25:00.000]  因为这个它那个实际上trydownsend它只是算子本身嘛
[00:25:00.000 --> 00:25:05.000]  但实际上我们要在升等上搞这个tensor的这个声明啊分配啊
[00:25:05.000 --> 00:25:07.000]  最后还是要集中这个touchnpu来做的
[00:25:07.000 --> 00:25:09.000]  所以这个也是不嚣张
[00:25:09.000 --> 00:25:12.000]  然后下边就是这个圆马装trydownsend的
[00:25:12.000 --> 00:25:15.000]  这块就是最折磨的地方吧
[00:25:15.000 --> 00:25:19.000]  一个就是它这个推荐的这个系统库这个东西哈
[00:25:19.000 --> 00:25:25.000]  像奥尼这个东西有时候不好装
[00:25:25.000 --> 00:25:27.000]  而且它给的这个是无妄图的命令
[00:25:27.000 --> 00:25:33.000]  然后这个这个库呢其实如果我们用YAM装去它是另一个名字
[00:25:33.000 --> 00:25:38.000]  然后这块我们先需要把这个依赖装好之后
[00:25:38.000 --> 00:25:43.000]  然后我们再需要一个指定一个committed的一个LVM
[00:25:43.000 --> 00:25:46.000]  然后这一步我们就是需要
[00:25:46.000 --> 00:25:49.000]  当然它推荐我们是需要那个clown15这个版本以上吧
[00:25:49.000 --> 00:25:55.000]  然后呢在构价MVM的时候如果说我们极其不好装这个clown15
[00:25:55.000 --> 00:26:01.000]  然后可以在这一阶段我们用LVM去构建一个高版本的这个clown和LD
[00:26:01.000 --> 00:26:05.000]  因为它给了就是我们用clown构建安装
[00:26:05.000 --> 00:26:07.000]  还有说用这个gcc构建安装两种方式
[00:26:07.000 --> 00:26:11.000]  所以说如果你本地本身是没有
[00:26:11.000 --> 00:26:13.000]  或者说不好装这个clown15以上的话
[00:26:13.000 --> 00:26:16.000]  你可以先用gcc给这个clown15装上去之后
[00:26:16.000 --> 00:26:21.000]  然后再把这个构建出来的这个binary文件那个目录
[00:26:21.000 --> 00:26:23.000]  接到那个tas里边
[00:26:23.000 --> 00:26:29.000]  然后后边就可以用这一会儿构造的这个clown去构建后边的trident send
[00:26:29.000 --> 00:26:34.000]  然后trident send的这块也是就是下载代码
[00:26:34.000 --> 00:26:35.000]  然后用它特定版本的
[00:26:35.000 --> 00:26:37.000]  然后去执行它的构建脚本
[00:26:37.000 --> 00:26:40.000]  然后它也是因为里边它涉及到第三方仓
[00:26:40.000 --> 00:26:46.000]  就即包括社区trident还有这个lvm还有这个smpl
[00:26:46.000 --> 00:26:52.000]  所以它构建过程中就会有一些这个需要拉代码的操作
[00:26:52.000 --> 00:26:57.000]  因为这个上场其实有些环境这个就容易失败
[00:26:57.000 --> 00:27:05.000]  然后所以说本身现在这个圆码构建这个路径是一个很复杂的路径
[00:27:05.000 --> 00:27:07.000]  所以后边等930
[00:27:07.000 --> 00:27:12.000]  因为他们现在还在一个就是完善里边一些就是功能吧
[00:27:12.000 --> 00:27:15.000]  然后等到930它会有一个正式版本发出来
[00:27:15.000 --> 00:27:17.000]  然后呢就是有一个微有报
[00:27:17.000 --> 00:27:22.000]  这样的话我们就不用管下边这个这个这个grvm构建
[00:27:22.000 --> 00:27:24.000]  然后直接装完这些依赖之后
[00:27:24.000 --> 00:27:28.000]  直接peopleinstall那个这个trident send的就行
[00:27:28.000 --> 00:27:32.000]  对但这个就是要大家等一等了
[00:27:35.000 --> 00:27:37.000]  然后这个回到这来说
[00:27:37.000 --> 00:27:43.000]  然后呢这个trident send的现在这个情况就是说已经兼容了社区大部分的这个能力
[00:27:43.000 --> 00:27:46.000]  那包括他们关键的API这些
[00:27:47.000 --> 00:27:53.000]  从现在我这的数据来CANN应该是
[00:27:53.000 --> 00:27:56.000]  呃93以上吧
[00:27:56.000 --> 00:27:57.000]  93的样子
[00:27:57.000 --> 00:28:02.000]  93的这个API都已经在升级上支持了
[00:28:02.000 --> 00:28:06.000]  然后呃CANN它这个API本来本身就分几类嘛
[00:28:06.000 --> 00:28:10.000]  两类是这个GPU kernel开发的就是trident和这个trident language
[00:28:10.000 --> 00:28:15.000]  还有一个就是搞test的这个研证的一些API就是trident.test
[00:28:15.000 --> 00:28:21.000]  然后像trident这类里面其实主要就是这四个四个接口
[00:28:21.000 --> 00:28:24.000]  然后tridentG的这个东西呢就是一个那个装置器嘛
[00:28:24.000 --> 00:28:28.000]  嗯也就是说我们写写了一个函数
[00:28:28.000 --> 00:28:30.000]  前面说是我们的trident kernel
[00:28:30.000 --> 00:28:34.000]  实际上需要把它用它去标注说我这个函数是这个trident kernel
[00:28:34.000 --> 00:28:40.000]  就是像这样比如说我一个kernel的这个定义实现
[00:28:40.000 --> 00:28:44.000]  然后上面加一个这个然后下面这个autotune呢
[00:28:44.000 --> 00:28:47.000]  其实这个是一个属于这个trident的一个自动调用能力
[00:28:47.000 --> 00:28:50.000]  嗯这块简单介绍后边会有一页专门讲
[00:28:50.000 --> 00:28:55.000]  就呢它的作用是啥呢就是因为我们这个trident里边有些三手
[00:28:55.000 --> 00:29:00.000]  就是因为既然我提到过这个trident我们是一个分块计算的
[00:29:00.000 --> 00:29:03.000]  那这个分块的大小这一列的关键操作呢
[00:29:03.000 --> 00:29:06.000]  其实它的不同的取值会对性能有影响
[00:29:06.000 --> 00:29:14.000]  然后这个东西呢就是说我们呢会给它提供一系列的config列表
[00:29:14.000 --> 00:29:18.000]  然后呢用这个output呢把一些这个config标起来之后呢
[00:29:18.000 --> 00:29:23.000]  它会自动的在里边去搜索最优的这个page
[00:29:23.000 --> 00:29:29.000]  其实相当于说在里边就是暗中做了一个benchmark
[00:29:29.000 --> 00:29:32.000]  测了一遍然后来告诉你那个是最好的
[00:29:32.000 --> 00:29:35.000]  然后呢它里边还有个key
[00:29:35.000 --> 00:29:41.000]  这个就是说如果说这个参数发生了它的值发生了变化
[00:29:41.000 --> 00:29:46.000]  而就会重新触发这个对这些config的evaluation
[00:29:46.000 --> 00:29:50.000]  然后呢当然这个tridentconfig其实就是这个config了
[00:29:50.000 --> 00:29:54.000]  有时候在这里边我们说控制说我们要调的这些参数是哪些
[00:29:54.000 --> 00:29:59.000]  啊有的是ballside这种就是我们在函数定义里的参数
[00:29:59.000 --> 00:30:03.000]  还有一些就是跟这个本身印象有关的
[00:30:03.000 --> 00:30:07.000]  如果GPU的话它是这个numWarp这个numCT
[00:30:07.000 --> 00:30:10.000]  但这东西在升堂上无效哈
[00:30:10.000 --> 00:30:14.000]  那正当上的话是有一些比如说像multi buffer这种东西
[00:30:14.000 --> 00:30:16.000]  这种东西是升堂里边可以提供的
[00:30:16.000 --> 00:30:21.000]  对然后咱这俩后边就是会就是有用力给大家来讲
[00:30:21.000 --> 00:30:26.000]  然后这个tridentheros一个就是说这个东西就是说我们呃
[00:30:26.000 --> 00:30:28.000]  比如说我们觉得我们奥多顿成本过高了
[00:30:28.000 --> 00:30:31.000]  我们其实不想真让它去测一遍
[00:30:31.000 --> 00:30:35.000]  然后这块呢这个标法就是说K标里边的呃
[00:30:35.000 --> 00:30:37.000]  比如说这个ballsize呢
[00:30:37.000 --> 00:30:45.000]  我直接是写出来说它是比如说怎么通过我另一个这个关键参数去算出来它
[00:30:45.000 --> 00:30:49.000]  先说把它的这个关系用一个lambda在这写出来
[00:30:49.000 --> 00:31:01.000]  比如说在这个写吧就是说我这个的取值其实就是x size的这个呃就是离它最近的上面的这个二的密的这个大小
[00:31:01.000 --> 00:31:05.000]  然后这个是trident部分的
[00:31:05.000 --> 00:31:08.000]  tridentlanguage里边呢就讲几个常用的哈
[00:31:08.000 --> 00:31:13.000]  这里边其实就是说像我们trident里边用的各种什么计算呀或者说各种函数
[00:31:13.000 --> 00:31:19.000]  它的就是实现里边的结构其实都是在这个这一类里边
[00:31:19.000 --> 00:31:23.000]  可能像tensor的话这个就是trident的自己的一个数据结构
[00:31:23.000 --> 00:31:28.000]  有时候我们里边的这个各种当然这个tridentlanguage就是缩写就是tl嘛
[00:31:28.000 --> 00:31:32.000]  然后这个tl API的这个操作对象仿位置其实都是这个结构
[00:31:32.000 --> 00:31:38.000]  然后另外它里边呢有两个函数比较重要一个就是这个program id
[00:31:38.000 --> 00:31:46.000]  然后这个其实就是或许说我这个函数当前这个实例在这个某个轴上的这个id
[00:31:46.000 --> 00:31:52.000]  因为我这个呃像我们分块的话不是说在一个围多少分吧
[00:31:52.000 --> 00:31:56.000]  我们可以最多分到三围上那我们在这个方向上的id是什么
[00:31:56.000 --> 00:31:58.000]  然后通过这个函数可以得到啊
[00:31:58.000 --> 00:32:04.000]  然后另一个就是说我们在这个轴上总共有多少个实例这个总数
[00:32:04.000 --> 00:32:07.000]  然后也是就通过这个函数可以返回来
[00:32:07.000 --> 00:32:14.000]  所以这两个函数结合哈我们通常会用它们来确定说我当前的这个实例
[00:32:14.000 --> 00:32:24.000]  我要计算这个数据是整个数据里的哪部分
[00:32:24.000 --> 00:32:24.000]  然后呢
[00:32:24.000 --> 00:32:26.000]  然后在creationOP里边呢
[00:32:26.000 --> 00:32:28.000]  其实复杂还好
[00:32:28.000 --> 00:32:32.000]  只要是这个arange这个API
[00:32:32.000 --> 00:32:34.000]  它呢总是返回一个区域内的连续数字
[00:32:34.000 --> 00:32:38.000]  比如给一个0到比如0到8
[00:32:38.000 --> 00:32:42.000]  那它就会返回这个0234567
[00:32:42.000 --> 00:32:46.000]  然后这个东西很重要就是说因为我们在这个取数据的时候
[00:32:46.000 --> 00:32:48.000]  这个取数据的时候
[00:32:48.000 --> 00:32:49.000]  尤其是load store的时候
[00:32:49.000 --> 00:32:56.000]  我们需要用它来制造出说我们这条数据的仿存的指针
[00:32:56.000 --> 00:32:57.000]  就是从基础指针
[00:32:57.000 --> 00:33:02.000]  然后来加上这个arange生成的一个数组来表达说
[00:33:02.000 --> 00:33:06.000]  我们要的是这一段区间内偏移的数据
[00:33:08.000 --> 00:33:11.000]  那然后就是这个load store
[00:33:11.000 --> 00:33:13.000]  这个就是也很好理解
[00:33:13.000 --> 00:33:19.000]  就是说我从这个指定地址把这个数据从这个片外给搬移到片上
[00:33:19.000 --> 00:33:21.000]  然后当然在我们生存上就是说
[00:33:21.000 --> 00:33:25.000]  从这个GM搬移到这个LE或者UB上
[00:33:25.000 --> 00:33:31.000]  然后呢这个pointer呢就是它呢就是其实不是说我一个
[00:33:31.000 --> 00:33:33.000]  一个指针
[00:33:33.000 --> 00:33:38.000]  然后像是这个一般比如说是我函数参数给一个基础指针
[00:33:38.000 --> 00:33:43.000]  然后呢我在这load里边就从基础指针加上之前arange的一个tensor
[00:33:43.000 --> 00:33:46.000]  然后这样呢它其实就变成了arange
[00:33:46.000 --> 00:33:48.000]  比如说我给个长度18吧
[00:33:48.000 --> 00:33:51.000]  那这块其实相当于是一个八个指针来说
[00:33:51.000 --> 00:33:53.000]  我把这个八个数给load出来
[00:33:53.000 --> 00:33:55.000]  那它这里边是带mask的
[00:33:55.000 --> 00:33:57.000]  就是mask的设定就是
[00:33:57.000 --> 00:33:59.000]  嗯
[00:33:59.000 --> 00:34:01.000]  其实就是正常yama的功能
[00:34:01.000 --> 00:34:05.000]  就是来指定说我们哪部分数据是需要的
[00:34:05.000 --> 00:34:07.000]  哪部分是要放弃的
[00:34:10.000 --> 00:34:12.000]  然后那个我们在用的时候呢
[00:34:12.000 --> 00:34:16.000]  其实需要一些boss的这个接口
[00:34:16.000 --> 00:34:18.000]  因为我们答应会结合例子大家能CANN见
[00:34:18.000 --> 00:34:23.000]  结果我们其实在这个pattern的一个算子里边
[00:34:23.000 --> 00:34:29.000]  你是不太能感受到像npo啥的这些东西
[00:34:29.000 --> 00:34:31.000]  反而是在外边
[00:34:31.000 --> 00:34:32.000]  我比如说我们要创建
[00:34:32.000 --> 00:34:34.000]  传给这个tensor的这些指针
[00:34:34.000 --> 00:34:40.000]  是需要这个toshnpo来把这个tensor给create出来的
[00:34:40.000 --> 00:34:41.000]  然后呢
[00:34:41.000 --> 00:34:46.000]  但其实这个就是就是如果说我们从cuda迁移过来的话
[00:34:46.000 --> 00:34:49.000]  其实这个就也很简单
[00:34:49.000 --> 00:34:52.000]  基本就是本身toshcuda的要用的东西
[00:34:52.000 --> 00:34:54.000]  我们可以盖成toshnpo来做就行
[00:34:54.000 --> 00:34:57.000]  然后这份工作
[00:34:57.000 --> 00:35:01.000]  这份功能就是直接就是
[00:35:01.000 --> 00:35:03.000]  其实我们改个名字都能用
[00:35:03.000 --> 00:35:06.000]  然后包括说那个cudagraph
[00:35:06.000 --> 00:35:09.000]  其实我们左边如果我们用acelgraph也能支持的
[00:35:13.000 --> 00:35:14.000]  然后这块就是给大家
[00:35:14.000 --> 00:35:20.000]  有通过例子给大家CANN一下这个trident写算子大概是啥样的
[00:35:20.000 --> 00:35:24.000]  然后这里边其实是一个就是最简单的
[00:35:24.000 --> 00:35:26.000]  当然也是一个完整的一个trident算子
[00:35:27.000 --> 00:35:29.000]  然后主要给大家CANN里边的一个关键点
[00:35:29.000 --> 00:35:32.000]  首先就是一个tridentG的这个装置器
[00:35:32.000 --> 00:35:34.000]  这块是要标出来的
[00:35:34.000 --> 00:35:35.000]  这样的话呢
[00:35:35.000 --> 00:35:40.000]  像说编辑就知道说你这一个函数就是它的一个trident kernel
[00:35:40.000 --> 00:35:44.000]  然后每个trident kernel内我们写的是什么呢
[00:35:44.000 --> 00:35:50.000]  就是说我们里边描述的是我们对一个block的数据要进行的操作
[00:35:50.000 --> 00:35:53.000]  然后实际上在我们外面调的时候呢
[00:35:53.000 --> 00:35:57.000]  它这个trident就已经自动给做了这个block的并行
[00:35:58.000 --> 00:36:02.000]  所以像这块我们给出这个block size
[00:36:02.000 --> 00:36:06.000]  也就是说指着说我这块的这个
[00:36:06.000 --> 00:36:13.000]  比如我单个的这个逻辑和它里边计算的数据的一个范围是啥样的
[00:36:13.000 --> 00:36:19.000]  然后现在也CANN到我们适配声能是不需要额外的语法的
[00:36:19.000 --> 00:36:22.000]  就是全都是用社区的那些接口就可以
[00:36:23.000 --> 00:36:27.000]  但未来有可能会提供一些声通专用的
[00:36:27.000 --> 00:36:30.000]  这个也是后边再说了
[00:36:32.000 --> 00:36:37.000]  然后另外就说我们这块就传进来的这个参数哈
[00:36:37.000 --> 00:36:38.000]  这几个都是指针
[00:36:38.000 --> 00:36:39.000]  然后这些指针怎么来的呢
[00:36:39.000 --> 00:36:43.000]  就是外边通过这个toshntu来创建出来的
[00:36:43.000 --> 00:36:45.000]  然后这几个指针呢
[00:36:45.000 --> 00:36:48.000]  其实就是我们就是全局内存指针
[00:36:48.000 --> 00:36:54.000]  现在就说就是理解为是这个这个gm的这个地址
[00:36:55.000 --> 00:36:59.000]  然后呢n elements这个其实是我这个
[00:36:59.000 --> 00:37:03.000]  是最完整的所有的数据的这个数量
[00:37:03.000 --> 00:37:06.000]  然后block size的话就是我这个分块之后
[00:37:06.000 --> 00:37:07.000]  每个块的这个数量
[00:37:08.000 --> 00:37:10.000]  然后下面这个
[00:37:10.000 --> 00:37:14.000]  因为说我们这个相当于说类似一个那个spme的一个写法
[00:37:14.000 --> 00:37:17.000]  也说我们的第一步呢
[00:37:17.000 --> 00:37:21.000]  因为我们本身不同的就算是同一段代码
[00:37:21.000 --> 00:37:25.000]  但是先说大家要不同的逻辑核算的是不同的数据
[00:37:25.000 --> 00:37:26.000]  所以在这一块呢
[00:37:27.000 --> 00:37:29.000]  嗯就是对trident control第一步
[00:37:29.000 --> 00:37:33.000]  基本都是说我们这个通过这个blogm id
[00:37:33.000 --> 00:37:37.000]  来拿到我当前的这个逻辑核的区号
[00:37:38.000 --> 00:37:41.000]  然后这样呢我通过这个pid我才能算出来
[00:37:41.000 --> 00:37:47.000]  我要算的是这个s pointer里边的哪一段pid的这个数据
[00:37:48.000 --> 00:37:49.000]  然后呢这一边呢
[00:37:49.000 --> 00:37:52.000]  因为我们这块给一个简单的1D例子嘛
[00:37:52.000 --> 00:37:54.000]  所以说呢我们当前blog的70D点
[00:37:54.000 --> 00:37:56.000]  就很简单就是这个pid成这个blog size
[00:37:56.000 --> 00:38:02.000]  然后呢这个pid呢就像今天提到过alround这个参数呢
[00:38:02.000 --> 00:38:06.000]  它会给出来一串这个连续数嘛
[00:38:06.000 --> 00:38:10.000]  所以说呢我通过这个东西来创建一个0
[00:38:10.000 --> 00:38:13.000]  从0开始的长度是blog size这么一个tensor
[00:38:13.000 --> 00:38:15.000]  然后再加上这个blog start
[00:38:15.000 --> 00:38:24.000]  实际上它就算出来说我从x开始的哪一对边移的这个下标
[00:38:24.000 --> 00:38:29.000]  是我当前的这个pid要算的这个数据
[00:38:31.000 --> 00:38:33.000]  然后呢mask呢这个中心是什么
[00:38:33.000 --> 00:38:36.000]  就是因为有的时候我们这个mend它是这个
[00:38:36.000 --> 00:38:39.000]  比如说我不能整图这个blog size
[00:38:39.000 --> 00:38:44.000]  那这个时候呢我们先说实际上我们虽然这块下个load
[00:38:44.000 --> 00:38:47.000]  会load出blog这个
[00:38:47.000 --> 00:38:50.000]  比如说名义上要load出blog这个这么长度的数据
[00:38:50.000 --> 00:38:53.000]  但实际上我们在这边就通过设置一个mask
[00:38:53.000 --> 00:39:00.000]  mask也写的很简单就是off size和这个直接就是前天说做一个比较吧
[00:39:00.000 --> 00:39:01.000]  小于这个animate
[00:39:01.000 --> 00:39:03.000]  然后呢这样的话
[00:39:03.000 --> 00:39:08.000]  只要是true的它就这个那段数据我们就load出来保留去使用
[00:39:08.000 --> 00:39:10.000]  fals的那段数据我们就去放弃
[00:39:10.000 --> 00:39:12.000]  放弃
[00:39:12.000 --> 00:39:17.000]  好这样的话下边这个load就是把我们这个当前这个
[00:39:18.000 --> 00:39:21.000]  这个单一个逻辑核我们要算这个数据
[00:39:21.000 --> 00:39:26.000]  就是现在说从这个参数里这个指针加上前面算这个偏移
[00:39:26.000 --> 00:39:28.000]  还有这个mask的设置
[00:39:28.000 --> 00:39:31.000]  就把这两个数据给load出来了
[00:39:31.000 --> 00:39:33.000]  就都是这个true的tensor
[00:39:33.000 --> 00:39:38.000]  然后呢后边我们就是这块就是直接写计算
[00:39:38.000 --> 00:39:40.000]  然后想建设store
[00:39:41.000 --> 00:39:44.000]  然后其实也是用相当的off size去store回去就行了
[00:39:45.000 --> 00:39:47.000]  诶一本我问一下这个te是啥
[00:39:47.000 --> 00:39:48.000]  是一个类吗
[00:39:49.000 --> 00:39:51.000]  te是你说这个吗
[00:39:51.000 --> 00:39:52.000]  对啊
[00:39:52.000 --> 00:39:53.000]  这是tl
[00:39:53.000 --> 00:39:56.000]  就是true的就这样这个叫true language
[00:39:57.000 --> 00:39:59.000]  就true的language
[00:39:59.000 --> 00:40:01.000]  info true的language stl
[00:40:01.000 --> 00:40:03.000]  就是就是这里边的接口
[00:40:04.000 --> 00:40:05.000]  ok
[00:40:05.000 --> 00:40:06.000]  所以它有一个库是吧
[00:40:06.000 --> 00:40:07.000]  对对对
[00:40:16.000 --> 00:40:17.000]  这个嗯
[00:40:17.000 --> 00:40:18.000]  对啊
[00:40:18.000 --> 00:40:19.000]  从来就是相信说
[00:40:19.000 --> 00:40:21.000]  当然这本身就是很容易的例子
[00:40:21.000 --> 00:40:23.000]  但是后边其实有复杂例子其实也一样
[00:40:23.000 --> 00:40:25.000]  就是说你发现它整体逻辑就是说
[00:40:25.000 --> 00:40:29.000]  比如说我们只是说根据我们的就我们设置好的这个分块
[00:40:29.000 --> 00:40:34.000]  然后呢再根据我们这个里边的和号呢去把这个对应块的数据拿出来
[00:40:34.000 --> 00:40:35.000]  然后做计算
[00:40:35.000 --> 00:40:39.000]  但里边不管是像同步还是什么东西就是我们完全是不管的
[00:40:40.000 --> 00:40:43.000]  或者说比如说比如说我同事里边写了呃
[00:40:43.000 --> 00:40:45.000]  cube和vector的操作
[00:40:45.000 --> 00:40:52.000]  比如我前面刚有个mathom后边我再来一个这个比如说这个这个这个cast呀或者说是什么加法
[00:40:52.000 --> 00:40:56.000]  我们也不用说管它怎么分合呀核间怎么管就是
[00:40:56.000 --> 00:41:00.000]  的就都用不着我们就写露的数据计算
[00:41:00.000 --> 00:41:03.000]  骚回去就别的别就跟我没关系了就编辑说了算
[00:41:06.000 --> 00:41:08.000]  这块是算则本身的写法哈
[00:41:08.000 --> 00:41:09.000]  嗯
[00:41:09.000 --> 00:41:13.000]  然后就说这个kernel的这个就这么调用运行这方面
[00:41:13.000 --> 00:41:18.000]  然后现在之前我们提过这个pulsionBO是要我们是肯定要用的
[00:41:18.000 --> 00:41:23.000]  但是这个pulsionBO是不是后来新版本可能不需要明确的import进来了
[00:41:23.000 --> 00:41:24.000]  这个
[00:41:24.000 --> 00:41:26.000]  这个就完全CANNpulsionBO的这个标准了
[00:41:26.000 --> 00:41:35.000]  就这块其实嗯就是按照CANN里边就是它它提供了这个npu用法用就行了
[00:41:36.000 --> 00:41:45.000]  然后这块就是对刚才那个这个提问问道那个那个那个t就直接tl啊缩写就是tl language就import进来这个库
[00:41:45.000 --> 00:41:48.000]  那这块我们调用的时候呢嗯
[00:41:48.000 --> 00:42:02.000]  嗯嗯但最外层其实这个地方就呃它就很明显它就是我们用这个tlnpu我们给它这个分配了这一段的这个呃一段空间的这个数据嘛
[00:42:02.000 --> 00:42:09.000]  嗯然后那个呃它这块是一个对比计算
[00:42:09.000 --> 00:42:15.000]  然后它另外就是说我们去调traten的话呢可以写一个这种辅助函数
[00:42:15.000 --> 00:42:18.000]  那这个按照里边其实正确就是说有个grid啊
[00:42:18.000 --> 00:42:22.000]  这个grid其实代表说我们要分多少个和
[00:42:22.000 --> 00:42:27.000]  然后呢比如说如果我grid是10的话
[00:42:27.000 --> 00:42:33.000]  然后那现在说我这个东西掉的时候它会把这个代码切成10份
[00:42:33.000 --> 00:42:36.000]  然后每份里的block size是这块标了1024
[00:42:36.000 --> 00:42:41.000]  然后但是这个因为我们很多时候呢其实我们是
[00:42:41.000 --> 00:42:47.000]  其实我们是相当于说这个block size称grid要是这个n elements吧
[00:42:47.000 --> 00:42:52.000]  所以说呢在呃除了我们说明确的把这个值写到里边以外
[00:42:52.000 --> 00:42:54.000]  我们可以通过写一个lambda的这个方式
[00:42:54.000 --> 00:42:58.000]  就是说我们就就grid取值器就是说n elements
[00:42:58.000 --> 00:43:02.000]  我们去除以这个block size来算出来我们到底需要分多少个和
[00:43:02.000 --> 00:43:04.000]  然后这种写法也是可以的
[00:43:04.000 --> 00:43:08.000]  也就是说在这个down的地方我们去指定说啊
[00:43:08.000 --> 00:43:11.000]  我这个traten kernel我们是分多少和
[00:43:11.000 --> 00:43:12.000]  然后每个和多大
[00:43:12.000 --> 00:43:16.000]  然后呢但这块xy就这几个指针呢
[00:43:16.000 --> 00:43:20.000]  其实我们是不需要去对每个和去做不同的
[00:43:20.000 --> 00:43:26.000]  因为它们就是是在算子里边我们得给予它我们去做不同的便宜来搞的
[00:43:26.000 --> 00:43:33.000]  然后这个就是说外部我们去做一个运行的一个方式
[00:43:33.000 --> 00:43:40.000]  啊对然后这个是呃因为从这点这点这点CANN哈哈
[00:43:40.000 --> 00:43:45.000]  其实就是社区原生的traten也是这么个写法
[00:43:45.000 --> 00:43:51.000]  然后但是在生疼来说呢呃如果你社区的代码完全不改
[00:43:51.000 --> 00:43:55.000]  方式能跑能跑但是呢性能可能就不会有那么好啊
[00:43:55.000 --> 00:44:01.000]  然后因为面对生疼的话呢其实我们还是最好是对代码能做一些调整啊
[00:44:01.000 --> 00:44:04.000]  当然有时候不改会出错啊这个后边也会讲
[00:44:04.000 --> 00:44:09.000]  就是我们还是需要对算子这个基于这个我们这个生产
[00:44:09.000 --> 00:44:13.000]  然后有些实验上的调整能让它跑好
[00:44:13.000 --> 00:44:18.000]  然后呢端定间架构这个我就不不细讲了这个其实都不用讲
[00:44:18.000 --> 00:44:21.000]  因为大家肯定都了解就我们有分和
[00:44:21.000 --> 00:44:24.000]  然后应这个Q我就是现在L1在L0
[00:44:24.000 --> 00:44:30.000]  然后外的话就UB然后在这个计算单元再算啊
[00:44:30.000 --> 00:44:38.000]  啊然后我们讲一下这个这个比如说我们如果说我们本身有社区的比如说面像GPU的一个山东算子
